Final Theme,Definition,Intermediate Theme,Initial Theme,Example
Chose actions with greater instrumental utility,"Made decisions with the intention of reducing the time or energy needed to complete the task, and/or increasing the amount of points that could be earned.",Reduced instrumental costs,Maximized speed,“I chose to complete the task alone when I felt it would be quicker than doing it together.” (Participant 108)
,,,Prioritized efficiency,“Doing the task alone is more efficient and requires less effort…” (Participant 207)
,,Reduced cognitive costs,Minimized cognitive strain,“[I chose alone] because it would be easier [to] do it on my own. Doing it together entails greater cognitive load.” (Participant 205)
,,,Minimized difficult coordination,“[I chose alone] when I thought it would be hard to coordinate to hit the dots at the same time” (Participant 105)
,,Minimized task constraints,Completed the task in the “easiest” way,“I chose to do the task alone to eliminate the boxes faster as it was easier for me to do it alone.” (Participant 403)
,,,Considered the spatial arrangement of the boxes,"“I would choose to complete the task alone when the boxes were seen as farther apart. When the boxes were closer together, I believed that it would be easier to complete the task together.” (Participant 208)"
,,,Considered the number of boxes,“[I chose together’ when there wasn't many boxes on the screen.” (Participant 101)
,,Maximized instrumental rewards,Maximized points,“I chose to do the task alone more often because it would give us higher points.” (Participant 311)
Chose actions with greater social value,Made decisions that were motivated by enhancing their own and/or their partner's  experience.,Extrinsic motivations of prosocial behaviour,Reputation management,“I chose to do it together because I didn't want to seem rude for never choosing to do it together…” (Participant 210)
,,Intrinsic motivations of prosocial behaviour,Cooperation was intrinsically rewarding,“I chose to do the task together because it was fun when we did it together…” (Participant 201)
,,,Empathy,“I usually didn't want the helper to feel left out and wanted to get them as many opportunities as possible” (Participant 407)
,,,Fairness,“When there were a lot of alone trials in a row sometimes I would switch it up to make it a together trial.” (Participants 401)
Made informed decisions,"Made decisions knowing they could perform the task consistently well in that task mode, sometimes influenced by performance in previous trials.",Made reliable decisions,NA,"“I would choose to complete the task alone because at times I trusted my own judgment, methods, and coordination alone more than my partner's ability to synchronize with me.” (Participant 308)"
,,Previous performance informed decisions,NA,“I chose to do the tasks alone when I felt that the helper made a series of errors during previous runs.” (Participant 111)
Considered partner dynamics,Conveyed their own or inferred their partner's intentionality through sensorimotor communication strategies or observed improved partner dynamics.,Learning opportunity,NA,"“To practice, after a ""together"" task took a bit more time or led to some confusion between us.” (Participant 104)"
,,Improved partner dynamics,NA,“[I chose together] when I was able to understand what boxes he would move his cursor [to] first so I was able to get the hang of it and we were able to finish boxes together at a faster rate.” (Participant 410)
Planned movement path,Discussed their own individual directional patterns they typically moved in and/or the order they planned to clear boxes in.,NA,NA,"“Most tasks, I chose to do it from right to left (right-handed), or in proximity- closest to farthest.” (Participant 213)"
Developed a decision preference,Developed a preference to complete the task alone or together throughout the experiment.,NA,NA,"“If there were a greater amount of boxes, I would choose to complete the task alone. Towards the end of the experiment, I would always choose to complete the task alone if the option was given.“ (Participant 207)"
